stopnica,17984
kupiti,17768
moder,17596
slika,17554
vstopiti,17510
temen,17504
kralj,17502
koža,17302
ljubiti,17214
uho,17154
prvič,17042
priznati,17030
glede,16992
drugače,16988
izvedeti,16834
nekoliko,16730
mrtev,16730
nazadnje,16624
zaslišati,16572
zunaj,16566
telefon,16556
odpraviti,16514
srečati,16474
položiti,16470
kuhinja,16464
luč,16456
zmeraj,16366
glaven,16330
pripeljati,16286
konj,16266
zjutraj,16254
drevo,16228
brati,16216
začetek,16202
zraven,16190
zapustiti,16180
zares,16016
namesto,15978
tedaj,15976
ubiti,15916
pes,15884
odgovor,15814
poseben,15788
teči,15744
počakati,15634
mir,15622
sprejeti,15552
vojna,15524
jutro,15504
sanja,15468
pomoč,15466
meniti,15464
gost,15402
nos,15380
nekako,15356
nehati,15346
malce,15326
vrh,15280
voditi,15234
razlog,15148
preživeti,15134
žal,15104
veter,15044
bolečina,15004
mogoče,14938
koliko,14916
vrat,14854
naravnost,14840
dom,14788
kakršen,14774
stisniti,14734
strmeti,14732
zadeva,14680
temveč,14664
vesel,14602
pripraviti,14592
večina,14556
hrana,14544
napisati,14512
dodati,14504
zemlja,14386
hodnik,14384
zelen,14380
zid,14362
zveza,14326
ujeti,14314
avtomobil,14238
opraviti,14228
kozarec,14096
obstajati,14064
papir,14008
možnost,13980
jesti,13956
prsi,13940
kam,13930
rame,13926
rešiti,13920
prebrati,13900
steči,13896
lev,13886
gozd,13884
številka,13870
tokrat,13808
pesem,13768
ogenj,13760
izmed,13702
peljati,13698
pisarna,13686
drugačen,13660
družba,13638
vrt,13560
pojasniti,13462
zob,13442
duša,13406
dovoliti,13396
načrt,13292
fotografija,13260
skupina,13238
nekje,13226
policija,13164
koli,13154
hotel,13100
žep,13042
zlat,13034
hkrati,13008
senca,13008
kava,13006
reč,12980
reka,12908
naučiti,12908
pripovedovati,12880
cerkev,12878
rama,12870
klicati,12858
posebej,12764
oglasiti,12744
večerja,12662
dajati,12628
vonj,12602
položaj,12556
znan,12518
dol,12496
skleniti,12490
lice,12442
izraz,12420
srečen,12400
solza,12382
priložnost,12374
čelo,12372
tišina,12356
podoba,12354
vleči,12342
zvečer,12302
topel,12294
veselje,12274
duh,12274
zaupati,12238
čevelj,12226
igra,12220
različen,12202
poskusiti,12190
odložiti,12166
motiti,12114
dežela,12086
smeh,12082
nameravati,12032
smer,11990
gol,11978
par,11932
nikdar,11906
skočiti,11882
čist,11836
meter,11826
želja,11812
list,11782
odnesti,11772
debel,11766
enak,11740
odkriti,11710
tretji,11708
prepričati,11694
postaja,11638
drag,11612
pobrati,11574
dogodek,11538
droben,11532
izbrati,11512
predvsem,11466
siv,11458
vino,11450
tik,11428
poiskati,11420
koleno,11418
prijateljica,11418
žival,11414
naročiti,11412
časopis,11396
nenavaden,11326
popoln,11322
ponuditi,11310
doseči,11268
prejšnji,11228
umakniti,11200
ogledati,11172
približati,11168
zvok,11166
mar,11160
trajati,11132
zaviti,11130
oseba,11126
vojak,11114
skrivati,11102
kamen,11078
čim,11068
čudovit,11052
ladja,10992
kos,10990
šest,10974
tip,10956
deklica,10922
poročiti,10908
država,10874
dvorana,10856
viseti,10854
jutri,10844
punca,10820
cigareta,10794
prijazen,10794
hladen,10792
zbuditi,10780
zgolj,10778
kolikor,10770
zahtevati,10754
spregovoriti,10694
prikazati,10678
širok,10674
poljubiti,10634
glasba,10634
sapa,10618
obisk,10614
oblika,10604
globok,10572
pravica,10566
tisoč,10546
obljubiti,10530
sila,10512
sporočilo,10502
sneg,10500
srajca,10442
zdravnik,10440
seči,10414
prepoznati,10408
tih,10394
zbrati,10354
peti,10296
miniti,10290
gor,10288
trgovina,10246
vroč,10234
dejstvo,10214
uživati,10206
sled,10202
strinjati,10188
objeti,10182
hvala,10172
sanjati,10168
oblačilo,10164
naslov,10160
voziti,10154
trebuh,10144
človeški,10138
dneven,10128
piti,10080
desen,10066
plašč,10060
sedež,10028
prijeten,10018
domač,10016
dvorišče,10000
film,9988
vas,9940
pokimati,9910
navada,9906
pas,9890
zgrabiti,9876
postajati,9874
stric,9854
hči,9852
jokati,9842
plačati,9840
razložiti,9834
ljub,9830
naloga,9818
policist,9794
hlače,9786
množica,9782
dvajset,9766
babica,9760
zadovoljen,9746
prižgati,9696
smisel,9692
kriv,9692
narobe,9674
uporabljati,9656
teta,9654
odkar,9626
oko,9602
imenovati,9592
skrivnost,9566
večkrat,9566
krilo,9546
obiskati,9516
prikimati,9502
nasmeh,9496
delovati,9484
zanimiv,9454
sto,9436
steklenica,9418
premakniti,9414
zagotovo,9414
vreden,9394
gora,9372
popoldne,9344
ponoči,9310
pravkar,9282
kup,9272
truplo,9268
miren,9256
lesen,9252
prevzeti,9248
kosilo,9222
božji,9218
krog,9200
ključ,9200
sedem,9198
nočen,9192
potreben,9148
menda,9146
brada,9144
pomen,9140
ponoviti,9122
omeniti,9092
udariti,9078
streha,9052
obstati,9036
zaspati,9030
poskrbeti,8996
gospodična,8976
paziti,8964
skloniti,8956
nikakor,8944
nekam,8918
predlagati,8898
ženski,8874
zabava,8846
pridružiti,8838
vračati,8800
nesreča,8796
novica,8794
pozornost,8778
očka,8752
napol,8734
zavpiti,8710
meso,8654
znamenje,8644
mnenje,8640
deček,8634
svetel,8624
povabiti,8622
uporabiti,8616
spalnica,8606
kolo,8594
pivo,8590
stanje,8586
zakon,8572
skriti,8570
val,8564
polica,8542
oblak,8538
nadstropje,8532
zatem,8484
vhod,8478
pritisniti,8468
suh,8458
potisniti,8452
nagniti,8432
divji,8428
spodaj,8428
navzdol,8424
vlak,8418
preprost,8398
dosti,8378
trava,8370
oziroma,8364
meja,8360
otok,8352
prispeti,8348
upanje,8316
rumen,8312
umor,8300
ozek,8298
varen,8290
oprostiti,8278
kruh,8242
trg,8240
nor,8228
rjav,8224
izvleči,8218
dvakrat,8202
hiter,8188
vendarle,8174
tuj,8160
prek,8144
pognati,8140
videz,8138
nizek,8138
vloga,8132
mehek,8132
poroka,8110
doktor,8108
srečanje,8100
zadržati,8100
zvezda,8098
sončen,8090
policijski,8082
čustvo,8074
pijača,8070
stoletje,8064
privoščiti,8056
nasloniti,7996
molčati,7996
planiti,7992
sekunda,7978
skrb,7972
spremljati,7966
dejanje,7956
kamor,7946
čaj,7932
noter,7924
bitje,7918
kajne,7916
trd,7916
boleti,7912
primeren,7888
čoln,7880
usoda,7876
pripomniti,7866
jeza,7866
skala,7862
marati,7858
takole,7848
bližina,7818
zaslužiti,7794
grob,7778
zveneti,7772
vsekakor,7768
pameten,7754
dno,7744
vojska,7732
prekiniti,7724
orožje,7710
nevaren,7708
naenkrat,7702
meč,7680
resničen,7676
priča,7676
obala,7668
grad,7664
vzklikniti,7662
polje,7660
potovanje,7658
profesor,7650
oster,7642
pojesti,7642
pogovoriti,7642
izkazati,7616
številen,7604
utegniti,7602
ogromen,7600
zajeti,7578
predstava,7564
napaka,7554
roditi,7546
posvetiti,7544
zamenjati,7538
član,7524
pamet,7518
premikati,7512
jezen,7464
naročje,7464
vtis,7460
poročen,7456
narava,7454
navzgor,7442
vztrajati,7442
pobegniti,7440
udarec,7426
odnos,7418
svež,7410
sedaj,7398
dvom,7398
obleči,7396
pripravljati,7396
navaden,7382
karkoli,7370
namen,7368
preteklost,7368
razred,7360
grlo,7352
najmanj,7336
določen,7334
luknja,7326
napad,7312
učiti,7312
dež,7296
podati,7282
manjkati,7280
spodnji,7278
trditi,7270
