britof
ciparna
cizek
curati
cuzek
drek
drekast
drekati
drkati
fafati
fak
fuk
fukati
gavzniti
goflja
jebati
jebenti
kavsati
klinec
kupleraj
kurba
kurbarija
kurbir
kurbirstvo
kurbišče
kurec
larfa
mrda
mrdati
mrdniti
napizditi
nasrati
obrisati
odrekati
oscanka
oscati
osrane
osrane
osranec
osrati
pariti
pezdec
pezdeti
pička
pizda
pizdarija
pizditi
pizdun
počepati
podrekati
pofafati
pofukati
pojahati
popizditi
porivati
poscane
poscanec
poscanka
poscati
posrane
posranec
posrati
poščivati
povaljati
prdec
prdeti
prdniti
prescati
rit
ritast
riten
ritnica
ritolizec
ritoliznik
scalnica
scati
sekret
spariti
spizditi
sranje
srati
strahopezdljiv
strahopezdljivec
strahopezdljivost
svinja
širokoriten
širokoritnež
uscane
uscanec
uscanka
usrane
usrane
usranec
usranka
vritmepiši
zadnjica
zadrekati
zajebancija
zajebanec
zajebati
zajebavati
zakurbati
zasrati
zjebati
